,28y climatology,date2,month2,latlon,mdll
0,14.497499,01,01,27.25|261.75,01|01|27.25|261.75
1,18.786179,01,01,27.25|277.75,01|01|27.25|277.75
2,19.804401,01,01,27.25|279.75,01|01|27.25|279.75
3,11.854734,01,01,29.25|259.75,01|01|29.25|259.75
4,11.591003,01,01,29.25|261.75,01|01|29.25|261.75
5,11.993544,01,01,29.25|263.75,01|01|29.25|263.75
6,15.042684,01,01,29.25|277.75,01|01|29.25|277.75
7,5.53375,01,01,31.25|255.75,01|01|31.25|255.75
8,6.94253,01,01,31.25|257.75,01|01|31.25|257.75
9,7.423687,01,01,31.25|259.75,01|01|31.25|259.75
10,7.8758316,01,01,31.25|261.75,01|01|31.25|261.75
11,8.9126835,01,01,31.25|263.75,01|01|31.25|263.75
12,9.553176,01,01,31.25|265.75,01|01|31.25|265.75
13,10.023938,01,01,31.25|267.75,01|01|31.25|267.75
14,10.084014,01,01,31.25|269.75,01|01|31.25|269.75
15,10.2760725,01,01,31.25|271.75,01|01|31.25|271.75
16,10.454374,01,01,31.25|273.75,01|01|31.25|273.75
17,10.972878,01,01,31.25|275.75,01|01|31.25|275.75
18,12.103228,01,01,31.25|277.75,01|01|31.25|277.75
19,9.68004,01,01,33.25|243.75,01|01|33.25|243.75
20,11.550582,01,01,33.25|245.75,01|01|33.25|245.75
21,12.027105,01,01,33.25|247.75,01|01|33.25|247.75
22,7.020555,01,01,33.25|249.75,01|01|33.25|249.75
23,0.8037968,01,01,33.25|251.75,01|01|33.25|251.75
24,4.2077966,01,01,33.25|253.75,01|01|33.25|253.75
25,3.6151745,01,01,33.25|255.75,01|01|33.25|255.75
26,4.584451,01,01,33.25|257.75,01|01|33.25|257.75
27,5.852159,01,01,33.25|259.75,01|01|33.25|259.75
28,6.403607,01,01,33.25|261.75,01|01|33.25|261.75
29,6.665647,01,01,33.25|263.75,01|01|33.25|263.75
30,6.942206,01,01,33.25|265.75,01|01|33.25|265.75
31,6.7779093,01,01,33.25|267.75,01|01|33.25|267.75
32,7.231765,01,01,33.25|269.75,01|01|33.25|269.75
33,7.3122454,01,01,33.25|271.75,01|01|33.25|271.75
34,7.767587,01,01,33.25|273.75,01|01|33.25|273.75
35,7.6298747,01,01,33.25|275.75,01|01|33.25|275.75
36,8.754403,01,01,33.25|277.75,01|01|33.25|277.75
37,9.237241,01,01,33.25|279.75,01|01|33.25|279.75
38,8.516734,01,01,35.25|239.75,01|01|35.25|239.75
39,4.2269797,01,01,35.25|241.75,01|01|35.25|241.75
40,9.010046,01,01,35.25|243.75,01|01|35.25|243.75
41,6.3299675,01,01,35.25|245.75,01|01|35.25|245.75
42,0.66437745,01,01,35.25|247.75,01|01|35.25|247.75
43,-0.4299031,01,01,35.25|249.75,01|01|35.25|249.75
44,-3.0345879,01,01,35.25|251.75,01|01|35.25|251.75
45,0.360941,01,01,35.25|253.75,01|01|35.25|253.75
46,2.0281947,01,01,35.25|255.75,01|01|35.25|255.75
47,2.3197289,01,01,35.25|257.75,01|01|35.25|257.75
48,3.0355222,01,01,35.25|259.75,01|01|35.25|259.75
49,3.4765224,01,01,35.25|261.75,01|01|35.25|261.75
50,3.8438578,01,01,35.25|263.75,01|01|35.25|263.75
51,4.372202,01,01,35.25|265.75,01|01|35.25|265.75
52,3.9395278,01,01,35.25|267.75,01|01|35.25|267.75
53,4.7426534,01,01,35.25|269.75,01|01|35.25|269.75
