county,latlon
Troup-Arp,
Whitehouse,
Tyler,
Winona,
Angleton,
Alvin-Pearland,
Brazosport,
Hamlin,
Del Rio,
Del Rio Northeast,
Del Rio Northwest,
Stamford,
Crowell,
Thalia,
Anton,
Sundown,
Boerne,
Kosse,
Prairie Hill,
Groesbeck,
Personville,
Thornton,
Miami,
Imperial,
Fort Stockton,
Mason West,
Barstow-Pyote,
Monahans,
Lake O' the Pines,
Comfort,
Bertram,
Dalhart,
San Augustine,
Texline,
Victoria,
Victoria West,
Vega,35.25|257.75
Fulton,
New Boston,
Kamey-Sixmile,
Clyde,
La Marque-Hitchcock,
Hooks,
Farwell-Bovina,
Friona,
Falfurrias,27.25|261.75
Encino,
Cuero,
Yorktown,
Westhoff-Arneckville,
Yoakum,
Sunray,
Hallettsville,
Yoakum,
Shiner,
Bangs,
Brownwood,
Blanket,
Dimmitt,
Falls City,
Kenedy,
Seymour Rural,
Harwood-Ottine,
Navasota,
Fort Hancock,
Mertzon North,
Fort Davis,
Hawley-Noodle,
Jayton South,
Lampasas,
Coolidge,
Bishop,
Calvert,
Winters,
La Grulla,
Victoria South,
Iowa Park,
Crystal City,
Copperas Cove,
Oglesby,
Purmela-Levita,
Runge,
Gillett,
Karnes City,
North Motley,
Port Arthur,
Sabine Pass,
Cranfills Gap,
Meridian,
Encinal,
Crane North,
Buna,
Goliad South,
Weesatche-Ander,
Goree,
Munday,
Fulshear-Simonton,
Rosenberg-Richmond,
Stafford-Missouri City,
Benjamin,
Robert Lee,
Bronte,
San Antonio East,
San Antonio North,
San Antonio Northeast,
San Antonio Northwest,
San Antonio South,
San Antonio West,
Huntsville,
Point Blank,
Coldspring,
Clifton,
Valley Mills,
Ennis,
Maypearl,
De Kalb,
Maud-Redwater,
Dalby Springs-Simms,
Texarkana,
Childress,
North Childress,
Marble Falls,
Burnet,
Itasca,
Whitney,
Granbury East,
Beeville,
Pettus-Pawnee,
Wortham,
Galveston,
Iredell,
Eagle Pass,
Quemado,
Burleson-Joshua,
Grandview,
Cleburne,
Alvarado,
Godley,
Hallsville,
Waskom,
Texas City-League City,
Bolivar Peninsula,
Fluvanna-Ira,
Riviera,
Hermleigh,
Anna,
Farmersville,
Plano,
Nevada,
Blue Ridge,
McKinney,
Celina,
Lyford,
Sebastian,
Raymondville,
Ector,
Leonard,
Bonham,
Northwest Rockwall,
Sarita,
Dodd City,
Ladonia,
Honey Grove,
Flatonia,
Round Top,
Fayetteville,
Mauriceville,
Orange,
Bridge City-Orangefield,
Carrizo Springs,
Asherton,
Marlin,
Reagan,
Mullin-Priddy,
La Grange West,
Justin-Roanoke,
Pilot Point-Aubrey,
Kingsville,
Carthage,
Gary City,
Long Branch-Dotson,
Freer,
San Diego,
Rocksprings South,
Flat,
Crane South,
Crosbyton,
Princeton,
Wellington,
Garwood,
Eola-Paint Rock,
Valley View,
Canyon Lake,
De Leon,
Castroville-LaCoste,
Hondo,
Schulenburg,
La Grange,
Lexington,
West Crockett,
Morton,
Ben Wheeler-Edom,
Edgewood,
Wills Point,
Cedar Creek Lake,
Roma-Los Saenz,
Rio Grande City,
Luling,
Muleshoe,
Skidmore,
Bowie,
St. Jo,
Nocona,
Andrews North,
Andrews South,
Elkhart,
Lufkin,
Campbellton,
Northwest Grayson,
Holliday,
Snyder,
Burlington,
Gause-Milano,
Buckholts,
Rockdale,
Thorndale,
Orange Grove-Sandia,
Northeast Rockwall,
South Rockwall,
Matagorda-Sargent,
Levelland,
Quitaque,
George West,
Chillicothe,
Canadian South,
Cotulla,
Vidor,
Kountze,
Sour Lake,
Lorenzo,
East Terrell,
Greenville,
Wolfe City,
Celeste,33.25|263.75
Quinlan,
Lubbock,
Slaton,
Canadian North,
Ballinger,
Floydada,
Lockney,
Amarillo,
Stratford,
East Crockett,
Ralls,
Mertzon South,
Sonora,
North Jim Hogg,
South Jim Hogg,
Stephenville,
La Ward-Lolita,
Vanderbilt,
Morgan Mill-Bluff Dale,
Goliad North,
Paducah South,
Paducah North,
Gustine,
Comanche,
Cost-Wrightsboro,
Waelder,
Gonzales,
Nixon,
Smiley,
Guthrie,
Duffau-Clairette,
Tilden,
Mart,
East Tom Green,
Iraan,
Warren,
Portland-Gregory,
Dublin,
Jasper,
Kirbyville,
Lakeview,
Turkey,
Northwest Bell,
Southwest Bell,
Rogers,
Edinburg,
Mission,
Sullivan City,
Blanco,
Cedar Creek Lake,
Kaufman,
Crandall,
Terrell South,
Eldorado West,
Poth,
Stockdale,
Beaumont,
Nome-China,
LaBelle,
Northeast Harris,
Southeast Harris,
Baytown,
Northwest Harris,
Knox City,
Lamesa Northwest,
Lamesa Southwest,
Roscoe,
Blackwell-Nolan,
Kennard-Ratcliff,
Porter Springs,
Edcouch-Elsa,
Puerto Rico-San Manuel,
Byers-Petrolia,
Southeast Montgomery,
East Bell,
Fort Hood,
Temple,
Magnolia,
Glen Rose,
Kermit,
Seadrift,
Floresville,29.25|261.75
La Vernia,
Claude North,
Breckenridge North,
Breckenridge South,
Colorado City,
Westbrook,
Henrietta,
Three Rivers,
Littlefield,
Olton,
Louise,
East Bernard,
El Campo,29.25|263.75
Premont,
Alice,
Adamsville,31.25|261.75
Sabinal,
Uvalde,
Bellevue-Joy,
D'Hanis,
Devine-Natalia,
Laredo North-Webb,
Laredo,
Call,
Deweyville,
Canyon,
Mineral Wells,
Strawn-Gordon,
Spurger,
Woodville,
Colmesneil-Chester,
Ganado,
Edna-Cordele,
Eldorado East,
Harper,
South Sand Hills,
Brackettville,29.25|259.75
Pineland,
Milam,
La Pryor,
Claude South,
Samnorwood,
Huntington,
Zavalla,
Diboll,
